0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,949","2,301","5,086","6,115","7,989","5,520","6,305","6,713","7,568","8,142","8,221","7,891","9,365"
Expenses +,"1,617","1,805","3,618","4,349","5,089","4,417","4,977","5,407","5,676","6,453","6,748","6,649","6,964"
Operating Profit,332,496,"1,467","1,766","2,900","1,103","1,328","1,305","1,892","1,689","1,473","1,242","2,401"
OPM %,17%,22%,29%,29%,36%,20%,21%,19%,25%,21%,18%,16%,26%
Other Income +,116,67,-86,116,-89,326,954,624,469,"1,044",490,"6,238","6,201"
Interest,44,31,30,36,153,191,224,256,266,236,207,277,119
Depreciation,25,30,119,100,105,96,106,139,151,160,184,202,216
Profit before tax,380,502,"1,232","1,747","2,553","1,143","1,952","1,535","1,944","2,337","1,572","7,001","8,268"
Tax %,-2%,14%,18%,15%,16%,11%,17%,12%,15%,15%,23%,26%,
Net Profit +,386,434,"1,008","1,484","2,141","1,014","1,622","1,355","1,649","1,998","1,209","5,167","6,076"
EPS in Rs,14.25,15.99,37.14,52.60,75.86,35.95,57.49,48.01,58.46,70.80,42.84,183.12,215.33
Dividend Payout %,14%,12%,5%,4%,3%,6%,3%,5%,4%,4%,6%,1%,
