0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"47,402","57,354","56,595","51,721","48,149","53,662","75,126","71,880","56,730","91,626","144,250","130,573","133,840"
Expenses +,"40,979","50,664","51,899","47,420","41,735","46,005","65,563","63,412","50,266","77,788","137,552","117,184","119,172"
Operating Profit,"6,423","6,690","4,696","4,301","6,414","7,656","9,564","8,468","6,464","13,839","6,698","13,389","14,669"
OPM %,14%,12%,8%,8%,13%,14%,13%,12%,11%,15%,5%,10%,11%
Other Income +,811,"1,249",924,870,873,992,"1,210","1,420","1,985","2,037","2,686","2,193","4,912"
Interest,195,366,361,800,479,275,139,108,156,174,312,697,759
Depreciation,981,"1,171",974,"1,310","1,397","1,415","1,550","1,836","1,908","2,111","2,488","3,331","3,857"
Profit before tax,"6,058","6,402","4,284","3,062","5,411","6,958","9,085","7,943","6,386","13,590","6,584","11,555","14,965"
Tax %,34%,32%,29%,27%,35%,34%,34%,17%,23%,24%,19%,24%,
Net Profit +,"4,022","4,375","3,039","2,226","3,503","4,618","6,026","6,621","4,890","10,364","5,302","8,836","11,440"
EPS in Rs,5.95,6.47,4.49,3.29,5.18,6.83,8.91,9.79,7.34,15.56,8.06,13.44,17.39
Dividend Payout %,30%,30%,25%,31%,54%,44%,27%,44%,45%,43%,62%,41%,
