0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,392,578,816,"1,083","1,353","1,518","1,727","2,030","2,018","1,988","2,742","3,523","3,806"
Interest,283,423,611,744,884,981,"1,170","1,345","1,209","1,155","1,702","2,232","2,438"
Expenses +,33,46,65,83,95,107,89,158,182,189,205,323,289
Financing Profit,76,109,140,257,373,430,468,528,627,644,835,969,"1,080"
Financing Margin %,19%,19%,17%,24%,28%,28%,27%,26%,31%,32%,30%,28%,28%
Other Income +,0,0,1,1,1,4,4,0,0,1,1,1,1
Depreciation,1,2,4,3,4,3,3,9,10,10,12,13,13
Profit before tax,75,107,137,254,370,431,470,518,618,635,824,958,"1,068"
Tax %,28%,29%,37%,38%,36%,34%,37%,27%,26%,26%,25%,22%,
Net Profit +,54,76,86,157,235,286,297,376,456,471,621,751,832
EPS in Rs,4.07,5.69,6.48,11.80,17.68,21.49,22.29,28.25,34.25,35.38,46.65,56.38,62.50
Dividend Payout %,15%,18%,22%,17%,11%,9%,9%,7%,6%,8%,8%,11%,
