0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"8,659","8,757","12,086","9,701","10,435","11,690","12,085","9,842","9,718","11,782","14,929","16,727","17,410"
Expenses +,"7,310","7,468","10,104","7,823","8,473","9,597","9,931","8,358","8,555","10,319","13,120","14,632","15,190"
Operating Profit,"1,350","1,289","1,981","1,878","1,963","2,093","2,154","1,483","1,163","1,462","1,810","2,095","2,220"
OPM %,16%,15%,16%,19%,19%,18%,18%,15%,12%,12%,12%,13%,13%
Other Income +,369,353,537,623,912,418,600,-105,-241,391,471,"1,566",805
Interest,6,0,14,13,27,3,13,10,14,29,12,51,15
Depreciation,367,384,548,386,456,467,402,383,341,324,386,430,395
Profit before tax,"1,346","1,257","1,956","2,102","2,391","2,041","2,339",985,567,"1,500","1,882","3,181","2,615"
Tax %,29%,30%,32%,27%,27%,33%,32%,34%,15%,19%,24%,22%,
Net Profit +,958,885,"1,338","1,531","1,741","1,371","1,598",650,482,"1,217","1,424","2,490","2,024"
EPS in Rs,305.20,281.76,426.03,487.72,570.47,449.14,541.81,220.32,163.59,412.70,482.99,844.42,686.29
Dividend Payout %,20%,20%,20%,17%,29%,22%,19%,48%,70%,51%,99%,44%,
