0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,149,149,149,149,149,149,149,149,149,149,149,149,149
Reserves,"1,877","1,573","1,506","2,212","3,165","3,707","3,161","1,043","1,276","2,641","6,132","8,444","7,331"
Borrowings +,"5,905","5,600","5,399","4,567","5,501","4,491","6,668","8,698","9,167","9,238","4,260","2,786","6,114"
Other Liabilities +,"6,189","6,644","3,929","3,430","2,681","5,851","3,978","2,779","3,487","5,298","5,345","6,768","3,882"
Total Liabilities,"14,121","13,966","10,983","10,358","11,496","14,198","13,955","12,669","14,078","17,327","15,885","18,147","17,476"
Fixed Assets +,"4,568","4,292","4,077","4,119","3,883","5,914","6,977","7,034","7,142","6,967","7,637","7,506","7,426"
CWIP,173,344,782,"1,679","2,763","1,410","1,199","1,598","1,550","1,210",331,210,219
Investments,24,25,25,12,12,12,12,12,12,12,12,12,12
Other Assets +,"9,355","9,305","6,098","4,547","4,838","6,863","5,767","4,025","5,374","9,139","7,905","10,419","9,819"
Total Assets,"14,121","13,966","10,983","10,358","11,496","14,198","13,955","12,669","14,078","17,327","15,885","18,147","17,476"
