0,1,2,3,4,5,6,7,8
Sales +,149,135,149,152,198,254,316,351
Expenses +,102,114,118,101,112,138,169,202
Operating Profit,48,21,30,51,86,116,147,149
OPM %,32%,16%,20%,34%,44%,46%,46%,42%
Other Income +,11,28,15,40,39,35,40,42
Interest,0,0,3,3,2,2,1,1
Depreciation,6,5,9,9,8,6,9,10
Profit before tax,53,44,34,79,115,143,177,180
Tax %,33%,20%,25%,24%,26%,24%,22%,
Net Profit +,35,35,25,60,86,109,137,139
EPS in Rs,92.39,92.13,66.11,157.01,16.07,20.27,25.42,25.62
Dividend Payout %,0%,0%,0%,0%,12%,25%,14%,
