0,1,2,3,4,5,6,7,8,9,10,11,12
Sales +,0,23,274,810,835,833,858,755,740,688,"1,517","1,346"
Expenses +,0,23,208,785,841,848,881,765,742,716,"1,504","1,306"
Operating Profit,0,0,66,25,-5,-15,-23,-10,-2,-28,13,40
OPM %,,1%,24%,3%,-1%,-2%,-3%,-1%,-0%,-4%,1%,3%
Other Income +,0,1,147,799,775,802,796,679,701,615,995,951
Interest,0,19,270,819,794,733,767,690,763,416,348,496
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,0,-18,-57,5,-25,54,6,-21,-65,170,659,494
Tax %,,0%,0%,21%,0%,21%,0%,0%,0%,0%,10%,
Net Profit +,0,-18,-57,4,-25,42,6,-21,-65,170,595,494
EPS in Rs,0.00,-0.16,-0.51,0.04,-0.22,0.39,0.05,-0.19,-0.59,1.53,5.33,4.22
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
