0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,063","1,103",857,"1,048",926,785,884,"1,011","1,098","1,175","1,012","1,063","1,011"
Expenses +,714,755,587,753,642,616,625,664,728,742,718,699,620
Operating Profit,349,348,270,295,284,169,259,347,369,433,294,364,391
OPM %,33%,32%,32%,28%,31%,22%,29%,34%,34%,37%,29%,34%,39%
Other Income +,46,65,74,66,62,-18,35,41,43,47,48,58,65
Interest,1,2,1,2,3,2,2,1,1,5,1,0,18
Depreciation,28,31,35,37,38,38,39,40,40,43,41,42,44
Profit before tax,366,381,309,322,305,112,254,347,372,433,300,380,394
Tax %,25%,25%,26%,26%,25%,29%,26%,26%,26%,26%,26%,26%,25%
Net Profit +,273,286,229,240,228,79,188,258,277,321,223,282,295
EPS in Rs,16.64,17.41,13.94,14.55,13.82,4.81,11.39,15.64,16.81,19.51,13.53,17.10,17.91
Raw PDF,,,,,,,,,,,,,
