0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,143","3,399","4,548","4,334","3,865","5,316","6,520","4,564","3,652","6,255","7,573","8,969","9,009"
Expenses +,"2,427","2,535","3,218","3,017","2,790","3,779","4,614","3,548","2,924","4,539","5,662","6,491","6,463"
Operating Profit,716,864,"1,330","1,317","1,074","1,537","1,906","1,016",728,"1,716","1,911","2,478","2,546"
OPM %,23%,25%,29%,30%,28%,29%,29%,22%,20%,27%,25%,28%,28%
Other Income +,102,126,89,108,136,-15,166,67,131,199,110,147,3
Interest,153,150,112,91,73,85,102,145,78,107,213,287,254
Depreciation,224,245,251,308,295,307,347,345,366,412,426,442,436
Profit before tax,440,596,"1,057","1,026",842,"1,131","1,623",593,415,"1,396","1,383","1,895","1,858"
Tax %,31%,33%,32%,32%,31%,37%,34%,20%,25%,23%,24%,25%,
Net Profit +,306,400,719,698,585,707,"1,071",474,312,"1,078","1,045","1,425","1,366"
EPS in Rs,6.56,8.59,15.44,14.98,12.57,15.19,23.01,10.17,6.70,23.15,22.45,30.61,29.16
Dividend Payout %,26%,26%,24%,25%,30%,30%,22%,34%,30%,30%,31%,29%,
