0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"8,090","8,536","10,200","11,626","9,921","11,449","12,978","13,442","11,777","13,716","18,836","19,957","22,013"
Expenses +,"6,780","7,302","8,143","8,675","7,481","8,368","9,918","10,003","8,533","10,356","14,582","16,070","17,550"
Operating Profit,"1,311","1,234","2,057","2,951","2,440","3,080","3,060","3,439","3,244","3,359","4,254","3,887","4,463"
OPM %,16%,14%,20%,25%,25%,27%,24%,26%,28%,24%,23%,19%,20%
Other Income +,129,224,306,337,180,246,244,-771,238,"-1,030",405,464,665
Interest,408,677,706,"1,116","1,047",840,892,892,719,582,668,781,891
Depreciation,408,535,548,899,989,"1,111","1,163","1,230","1,180","1,234","1,059","1,123","1,116"
Profit before tax,623,246,"1,109","1,273",584,"1,376","1,248",546,"1,583",514,"2,931","2,446","3,120"
Tax %,38%,62%,33%,29%,26%,33%,29%,-127%,16%,20%,28%,26%,
Net Profit +,385,95,742,899,432,922,889,"1,238","1,325",410,"2,104","1,798","2,250"
EPS in Rs,8.15,2.01,15.71,18.71,9.00,19.18,18.50,25.76,27.57,8.52,43.77,37.41,46.46
Dividend Payout %,25%,25%,10%,24%,24%,26%,27%,45%,40%,106%,59%,43%,
