0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,488,664,822,917,"1,011","1,182","1,344","1,209","1,202","1,442","1,803","1,871","1,884"
Expenses +,412,569,703,776,841,"1,014","1,152","1,045","1,052","1,220","1,510","1,577","1,607"
Operating Profit,76,95,119,141,171,168,191,164,150,221,293,295,277
OPM %,16%,14%,14%,15%,17%,14%,14%,14%,12%,15%,16%,16%,15%
Other Income +,9,6,5,10,11,14,15,14,22,17,25,59,63
Interest,7,6,8,5,5,5,3,4,4,5,5,5,7
Depreciation,9,12,15,16,18,22,23,33,33,30,30,34,37
Profit before tax,68,82,101,129,158,154,180,141,134,203,282,314,296
Tax %,32%,37%,33%,36%,34%,35%,36%,18%,25%,27%,26%,24%,
Net Profit +,46,52,68,83,104,100,115,116,101,149,210,239,236
EPS in Rs,36.52,41.02,52.02,64.17,79.94,77.08,88.46,89.14,77.89,114.84,161.20,183.89,181.41
Dividend Payout %,11%,12%,12%,14%,15%,16%,15%,15%,17%,30%,31%,33%,
