0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,383,369,344,356,389,501,707,860,705,"1,228","3,075","2,980","2,784"
Expenses +,326,322,280,268,291,395,554,862,550,892,"2,731","2,639","2,476"
Operating Profit,57,48,64,87,97,106,153,-2,154,336,345,341,308
OPM %,15%,13%,19%,25%,25%,21%,22%,-0%,22%,27%,11%,11%,11%
Other Income +,18,9,94,7,26,28,20,67,82,253,728,210,286
Interest,10,12,13,9,8,7,21,23,15,19,17,10,8
Depreciation,12,13,12,12,11,18,25,38,40,45,25,18,16
Profit before tax,54,31,133,74,103,109,127,3,182,525,"1,031",523,569
Tax %,26%,37%,19%,27%,36%,8%,30%,-622%,14%,14%,21%,21%,
Net Profit +,40,19,108,54,66,101,89,25,156,452,817,412,429
EPS in Rs,1.20,0.58,3.23,1.61,1.99,3.02,2.65,0.73,4.44,12.87,23.29,11.73,12.23
Dividend Payout %,33%,90%,23%,56%,53%,41%,53%,234%,45%,19%,25%,55%,
