0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,434,352,338,333,466,348,354,259,472,364,339,333,515
Expenses +,341,274,276,290,374,291,288,234,416,300,287,295,433
Operating Profit,93,78,62,43,92,57,66,24,56,64,52,38,82
OPM %,21%,22%,18%,13%,20%,16%,19%,9%,12%,18%,15%,11%,16%
Other Income +,0,0,1,1,1,1,0,0,1,3,2,3,4
Interest,5,6,6,8,8,7,7,6,6,4,4,4,4
Depreciation,14,15,15,17,20,20,17,18,18,19,16,18,19
Profit before tax,75,57,42,20,65,30,42,0,33,44,34,20,63
Tax %,27%,60%,26%,26%,26%,23%,26%,14%,26%,25%,26%,27%,26%
Net Profit +,55,23,31,15,48,23,31,0,25,33,25,14,46
EPS in Rs,1.80,0.75,1.03,0.48,1.59,0.75,1.03,0.01,0.82,1.07,0.83,0.47,1.52
Raw PDF,,,,,,,,,,,,,
