0,1,2,3,4,5,6,7,8
Sales +,410,464,633,711,"1,194","1,484","1,448","1,551"
Expenses +,357,407,561,596,951,"1,231","1,237","1,315"
Operating Profit,53,57,72,116,243,254,211,236
OPM %,13%,12%,11%,16%,20%,17%,15%,15%
Other Income +,18,26,36,4,1,3,4,12
Interest,20,14,13,17,20,29,23,16
Depreciation,8,9,20,32,53,71,72,71
Profit before tax,42,60,75,70,172,157,120,160
Tax %,25%,33%,20%,62%,37%,25%,25%,
Net Profit +,31,40,60,27,109,117,89,119
EPS in Rs,"3,233.30","4,129.50",3.97,1.77,3.57,3.84,2.93,3.89
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
