0,1,2,3,4,5,6,7,8
Equity Capital,10,10,10,10,10,10,10,10
Reserves,585,673,761,990,"1,098","1,282","1,515","1,580"
Borrowings +,22,9,52,89,62,32,10,3
Other Liabilities +,69,72,118,94,144,191,164,171
Total Liabilities,685,763,941,"1,183","1,313","1,515","1,699","1,765"
Fixed Assets +,189,230,240,546,573,593,575,558
CWIP,3,19,141,18,74,173,211,249
Investments,151,229,199,142,74,138,244,276
Other Assets +,343,285,361,477,592,611,668,682
Total Assets,685,763,941,"1,183","1,313","1,515","1,699","1,765"
