0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,16,16,16,17,17,17,17,17,18,30,30,30,30
Reserves,"1,217","1,452","1,909","1,947","2,960","3,701","4,696","5,211","6,924","13,846","15,947","19,269","20,245"
Borrowings +,207,107,218,55,0,0,0,0,0,0,0,0,"2,210"
Other Liabilities +,750,930,764,936,"1,236","1,300","1,513","3,088","3,047","5,941","6,457","7,159","4,975"
Total Liabilities,"2,189","2,506","2,907","2,955","4,213","5,019","6,227","8,317","9,988","19,816","22,434","26,458","27,460"
Fixed Assets +,254,294,337,320,286,273,315,"1,152","1,033","2,550","2,931","4,220","4,594"
CWIP,78,51,24,19,1,7,8,40,43,472,856,477,486
Investments,424,455,458,322,"1,231","1,560","2,260","2,874","4,382","6,711","5,919","9,203","10,124"
Other Assets +,"1,433","1,706","2,088","2,293","2,695","3,179","3,644","4,252","4,530","10,083","12,728","12,558","12,257"
Total Assets,"2,189","2,506","2,907","2,955","4,213","5,019","6,227","8,317","9,988","19,816","22,434","26,458","27,460"
