0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,233,334,467,505,593,689,829,877,781,758,921,950,958
Expenses +,210,274,338,377,443,528,602,674,547,616,791,878,886
Operating Profit,23,60,129,128,149,161,228,203,234,142,130,72,72
OPM %,10%,18%,28%,25%,25%,23%,27%,23%,30%,19%,14%,8%,8%
Other Income +,11,16,31,39,38,42,18,97,45,164,159,334,222
Interest,0,0,1,4,4,0,0,11,10,9,7,5,5
Depreciation,10,7,5,4,4,5,6,21,19,18,19,21,22
Profit before tax,24,69,154,159,179,198,239,269,250,280,264,380,268
Tax %,33%,22%,24%,26%,26%,24%,28%,21%,28%,16%,17%,6%,
Net Profit +,16,54,117,117,133,151,172,211,179,235,220,359,247
EPS in Rs,0.56,1.92,4.19,4.19,4.75,5.40,6.15,7.53,6.38,8.39,7.86,12.79,8.82
Dividend Payout %,117%,73%,63%,81%,70%,72%,77%,100%,81%,93%,99%,88%,
