0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,"1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753","1,753"
Reserves,"4,715","5,316","3,552","4,679","8,318","9,280","8,974","6,014","2,485","5,444","8,082","11,499","10,530"
Borrowings +,"7,558","9,793","9,032","8,075","8,541","7,950","9,131","11,896","24,062","21,310","16,939","12,687","13,533"
Other Liabilities +,"12,676","22,665","20,007","22,787","7,802","7,238","7,333","6,145","6,425","11,561","8,410","9,467","8,772"
Total Liabilities,"26,701","39,527","34,345","37,293","26,414","26,221","27,191","25,808","34,725","40,068","35,184","35,406","34,588"
Fixed Assets +,"5,781","5,991","14,109","14,881","14,161","14,038","13,996","14,239","19,596","21,384","20,396","20,410","20,251"
CWIP,"7,554","8,552","1,378",188,220,668,982,"1,730","2,343",170,475,744,712
Investments,15,15,"1,350","1,350","1,350","1,350","1,503","2,178",16,16,16,17,19
Other Assets +,"13,351","24,969","17,508","20,874","10,684","10,166","10,710","7,661","12,770","18,499","14,297","14,234","13,605"
Total Assets,"26,701","39,527","34,345","37,293","26,414","26,221","27,191","25,808","34,725","40,068","35,184","35,406","34,588"
