0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"3,092","4,042","5,392","7,298","9,966","12,639","17,386","23,823","23,537","27,872","35,684","46,939","56,343"
Interest,"1,221","1,592","2,274","2,959","3,853","4,649","6,037","7,990","7,550","7,678","9,424","14,003","17,384"
Expenses +,998,"1,362","1,752","2,353","3,248","4,067","5,189","8,763","10,325","11,236","11,928","15,249","19,434"
Financing Profit,874,"1,088","1,367","1,986","2,866","3,923","6,159","7,070","5,662","8,959","14,333","17,687","19,525"
Financing Margin %,28%,27%,25%,27%,29%,31%,35%,30%,24%,32%,40%,38%,35%
Other Income +,17,32,26,35,23,10,13,9,3,-17,-7,-5,"2,577"
Depreciation,20,29,36,56,71,102,137,271,302,355,444,629,765
Profit before tax,872,"1,091","1,357","1,965","2,818","3,831","6,035","6,808","5,363","8,586","13,882","17,053","21,338"
Tax %,32%,34%,34%,35%,35%,35%,36%,28%,26%,26%,26%,26%,
Net Profit +,591,719,898,"1,279","1,837","2,485","3,890","4,881","3,956","6,350","10,290","12,644","16,123"
EPS in Rs,11.87,14.34,17.90,23.74,33.40,42.99,67.31,81.12,65.64,104.89,169.96,204.27,260.47
Dividend Payout %,13%,11%,10%,10%,11%,9%,9%,12%,15%,19%,18%,18%,
