0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,24,24,24,24,24,24,24,24,24,24,24,24,24
Reserves,"2,347","2,458","2,621","3,070","3,718","4,019","4,437","4,895","5,603","6,501","6,770","7,120","7,122"
Borrowings +,"2,667","2,910","2,712","2,124","1,425","1,113","1,619","3,032","3,110","3,950","4,507","4,936","5,223"
Other Liabilities +,"1,434","1,476","1,645","1,677","1,843","1,938","2,029","2,096","2,609","2,581","3,216","4,088","4,025"
Total Liabilities,"6,471","6,869","7,002","6,894","7,009","7,093","8,108","10,047","11,346","13,056","14,517","16,168","16,394"
Fixed Assets +,"4,594","4,641","4,876","4,901","5,183","5,298","5,376","6,027","6,957","7,752","10,174","12,043","12,370"
CWIP,157,354,263,147,120,175,853,"1,840","2,355","3,034","1,987","1,378","1,248"
Investments,266,283,356,372,148,159,175,189,201,201,202,223,173
Other Assets +,"1,455","1,590","1,508","1,475","1,557","1,461","1,705","1,991","1,833","2,069","2,153","2,524","2,604"
Total Assets,"6,471","6,869","7,002","6,894","7,009","7,093","8,108","10,047","11,346","13,056","14,517","16,168","16,394"
