0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,215","2,406","3,194","3,554","3,711","3,682","3,407","3,459","3,556","3,597","3,521","3,697","3,759"
Expenses +,"1,746","1,905","2,576","3,026","3,282","3,221","2,765","2,802","2,992","3,074","2,939","3,161","3,395"
Operating Profit,470,500,618,528,428,461,642,657,564,523,582,536,364
OPM %,21%,21%,19%,15%,12%,13%,19%,19%,16%,15%,17%,14%,10%
Other Income +,30,77,31,110,56,71,46,134,55,109,73,149,129
Interest,3,5,2,3,3,3,2,2,2,3,2,2,2
Depreciation,84,75,86,91,92,94,99,102,102,111,114,118,122
Profit before tax,414,498,560,543,389,435,587,686,516,519,538,565,369
Tax %,25%,27%,25%,23%,28%,24%,25%,22%,24%,26%,25%,24%,22%
Net Profit +,309,362,421,416,278,330,438,535,392,383,401,431,286
EPS in Rs,2.20,2.58,3.01,2.97,1.99,2.36,3.13,3.82,2.80,2.73,2.87,3.08,2.04
Raw PDF,,,,,,,,,,,,,
