0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"2,189","2,546","2,699","2,944","3,174","3,402","3,767","4,169","4,135","4,105","4,714","5,271","5,675"
Interest,"1,565","1,787","1,891","1,963","1,975","1,972","2,156","2,493","2,305","2,188","2,552","3,147","3,413"
Expenses +,470,588,655,736,937,"1,120","1,140","1,690","1,738","1,605","1,723","1,559","1,711"
Financing Profit,154,171,153,245,262,310,472,-15,92,311,440,564,551
Financing Margin %,7%,7%,6%,8%,8%,9%,13%,-0%,2%,8%,9%,11%,10%
Other Income +,274,280,415,410,484,532,514,680,689,759,810,742,822
Depreciation,25,38,47,52,53,52,62,79,87,85,73,75,0
Profit before tax,403,414,521,603,693,790,925,586,693,985,"1,177","1,231","1,373"
Tax %,20%,16%,24%,26%,27%,25%,26%,19%,14%,23%,20%,17%,
Net Profit +,322,347,395,445,503,592,683,476,593,760,937,"1,016","1,090"
EPS in Rs,4.94,5.29,5.47,6.14,6.91,8.10,9.30,6.46,8.02,10.28,12.66,13.71,14.72
Dividend Payout %,15%,16%,17%,16%,4%,3%,5%,8%,6%,10%,8%,11%,
