0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,049","1,702","3,031","6,186","7,038","8,958","9,794","9,077","8,619","10,123","14,067","16,078","17,537"
Expenses +,904,"1,389","2,297","4,478","4,832","6,103","6,846","6,871","6,831","8,005","10,672","11,696","12,875"
Operating Profit,146,314,734,"1,708","2,206","2,854","2,948","2,207","1,788","2,118","3,394","4,382","4,662"
OPM %,14%,18%,24%,28%,31%,32%,30%,24%,21%,21%,24%,27%,27%
Other Income +,46,80,116,283,227,19,486,612,450,450,639,"1,166","1,362"
Interest,0,0,2,2,3,3,3,11,9,10,13,19,21
Depreciation,17,30,50,137,153,222,299,378,446,446,512,559,650
Profit before tax,174,363,798,"1,853","2,277","2,648","3,133","2,430","1,783","2,112","3,508","4,970","5,353"
Tax %,17%,23%,30%,29%,31%,35%,34%,22%,25%,25%,25%,25%,
Net Profit +,145,279,559,"1,309","1,560","1,713","2,054","1,904","1,330","1,586","2,623","3,749","4,137"
EPS in Rs,5.36,10.30,20.62,48.20,57.33,62.84,75.31,69.71,48.65,58.01,95.90,136.94,151.00
Dividend Payout %,37%,29%,24%,21%,17%,18%,17%,18%,35%,36%,39%,37%,
